id,order,age,gender,sex,native_language,semesters_experience,GPA,Autism_Spectrum_Quotient,GPE_PANAS,GNE_PANAS,Fear_PANAS,Hostility_PANAS,Guilt_PANAS,Sadness_PANAS,Joviality_PANAS,Self_Assurance_PANAS,Attentiveness_PANAS,Shyness_PANAS,Fatigue_PANAS,Serenity_PANAS,Surprise_PANAS,Need_for_Cognition,correct,complete,prose_correct,prose_complete,code_correct,code_complete,"even_correct_two_category (avg=37.03, std=7.84)","even_correct_three_category (avg=37.03, std=7.84)","even_complete_two_category (avg=28.83,std=6)","even_complete_three_category (avg=28.83,std=6)","even_prose_correct_two_category (avg=23.90,std=3.54)","even_prose_correct_three_category (avg=23.90,std=3.54)","even_prose_complete_two_category (avg=16.72,std=1.16)","even_prose_complete_three_category (avg=16.72,std=1.16)","even_code_correct_two_category (avg=13.14,std=5.6)","even_code_correct_three_category (avg=13.14,std=5.6)","even_code_complete_two_category (avg=12.1,std=6.05)","even_code_complete_three_category (avg=12.1,std=6.05)","std_correct_three_category (avg=37.03, std=7.84)","std_complete_three_category (avg=28.83,std=6)","std_prose_correct_three_category (avg=23.90,std=3.54)","std_prose_complete_three_category (avg=16.72,std=1.16)","std_code_correct_three_category (avg=13.14,std=5.6)","std_code_complete_three_category (avg=12.1,std=6.05)",Harder,Similar,Typing Constraints,Code_more_structured,Prose_FITB_Instinct_vs_Solved,Prose_LR_Instinct_vs_Solved,Code_FITB_Instinct_vs_Solved,Code_LR_Instinct_vs_Solved
141,213,20,male,male,english,5,3.92,21,41,15,12,12,12,11,32,23,18,12,6,13,10,26,36,27,26,17,10,10,low ,moderate ,low ,moderate ,high ,high ,high ,moderate ,low ,low ,low ,moderate ,moderate ,moderate,moderate,moderate,moderate,moderate,X,N,X,X,S,X,X,I
142,2031,19,female,female,english,4,3.75,11,40,17,14,11,9,9,32,18,15,8,14,9,7,26,30,22,25,18,5,4,low ,low ,low ,low ,high ,moderate ,high ,high ,low ,low ,low ,low ,moderate ,moderate,moderate,high,low,low,X,N,X,Y,X,S,X,S
143,231,21,male,male,english,6,3.55,7,34,13,7,9,8,7,30,17,13,6,6,13,6,1,36,23,25,17,11,6,low ,moderate ,low ,low ,high ,moderate ,high ,moderate ,low ,moderate ,low ,low ,moderate ,moderate,moderate,moderate,moderate,low,X,N,X,Y,X,S,S,S
144,1302,20,male,male,spanish,4,3.1,16,31,11,6,9,6,8,29,20,12,8,11,11,5,3,37,27,23,16,14,11,low ,moderate ,low ,moderate ,low ,low ,low ,low ,high ,moderate ,low ,moderate ,moderate ,moderate,moderate,moderate,moderate,moderate,X,Y,X,X,I,I,X,X
147,123,20,female,female,russian and english,6,3.6,22,38,17,9,11,7,11,31,19,18,8,10,14,6,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,1320,19,male,male,english,2,3.25,15,38,13,9,9,6,8,31,22,11,5,14,11,7,23,36,28,25,16,11,12,low ,moderate ,low ,moderate ,high ,moderate ,low ,low ,low ,moderate ,low ,moderate ,moderate ,moderate,moderate,moderate,moderate,moderate,C,N,X,X,S,S,S,S
151,3012,20,male,male,arabic and english,2,3.6,14,31,17,8,11,17,8,23,15,13,6,17,9,6,21,34,25,26,17,8,8,low ,low ,low ,low ,high ,high ,high ,moderate ,low ,low ,low ,low ,moderate ,moderate,moderate,moderate,moderate,moderate,C,Y,X,X,S,S,X,X
201,123,25,male,male,english,10,4,16,36,16,9,8,9,9,20,16,17,5,10,11,6,22,38,32,25,17,13,15,low ,moderate ,high ,high ,high ,moderate ,high ,moderate ,low ,moderate ,high ,moderate ,moderate ,moderate,moderate,moderate,moderate,moderate,C,X,X,Y,S,S,X,S
203,123,25,female,female,english,2,3.8,22,30,21,15,10,15,7,28,10,14,13,8,6,6,25,33,21,25,16,8,5,low ,low ,low ,low ,high ,moderate ,low ,low ,low ,low ,low ,low ,moderate ,low,moderate,moderate,moderate,low,C,N,X,X,I,I,S,S
204,123,,male,male,,,,30,36,12,7,8,6,8,30,20,15,5,9,10,5,20,40,33,24,15,16,18,high ,moderate ,high ,high ,low ,low ,low ,low ,high ,moderate ,high ,high ,moderate ,moderate,moderate,low,moderate,moderate,X,Y,X,X,S,X,X,S
